clock_time,od_600nm,strain,carbon_source,date,run_no,elapsed_time_hr
2023-01-11 13:46:00,0.154,WT,glucoseCAA,2022-03-14,1,0.43333333333333335
2023-01-11 14:02:00,0.198,WT,glucoseCAA,2022-03-14,1,0.7
2023-01-11 14:22:00,0.279,WT,glucoseCAA,2022-03-14,1,1.0333333333333334
2023-01-11 14:30:00,0.326,WT,glucoseCAA,2022-03-14,1,1.1666666666666667
2023-01-11 14:38:00,0.377,WT,glucoseCAA,2022-03-14,1,1.3
2023-01-11 11:53:00,0.112,WT,glucoseCAA,2022-03-15,1,0.0
2023-01-11 12:15:00,0.173,WT,glucoseCAA,2022-03-15,1,0.36666666666666664
2023-01-11 12:25:00,0.205,WT,glucoseCAA,2022-03-15,1,0.5333333333333334
2023-01-11 12:47:00,0.316,WT,glucoseCAA,2022-03-15,1,0.9
2023-01-11 13:02:00,0.042,WT,glycerol,2020-07-10,1,0.0
